feature,stability_score,drift_score,predictive_power,cross_token_consistency,token_coverage,score,keep_decision
bos_down,0.9412,0.0684,0.0131,0.6,1.0,0.5042,KEEP
sqz_momentum,0.7626,1.0405,0.0654,1.0,1.0,0.5029,REMOVE (high drift)
volume_confluence,0.802,0.2384,0.0319,0.8,1.0,0.5014,KEEP
volatility_regime,0.6744,1.1299,0.1377,1.0,1.0,0.5009,REMOVE (high drift)
relative_volume,0.925,0.0873,0.0195,0.6,1.0,0.5009,KEEP
rel_perf_4h,0.859,0.3408,0.0246,0.75,0.8,0.5005,KEEP
donchian_width,0.6366,1.6502,0.2286,1.0,1.0,0.4999,REMOVE (high drift)
vi_plus,0.7852,0.4689,0.0682,0.8,1.0,0.4994,KEEP
rsi_7,0.8081,0.2093,0.0148,0.8,1.0,0.4979,KEEP
momentum_confluence,0.8108,0.3746,0.03,0.8,1.0,0.4965,KEEP
returns_1h_delta_4,0.9019,0.2214,0.0415,0.6,1.0,0.4961,KEEP
vi_minus,0.7912,0.5647,0.0655,0.8,1.0,0.4953,KEEP
rvi_sig,0.7974,0.7808,0.0828,0.8,1.0,0.4933,KEEP
mfi_14,0.7898,0.3243,0.0283,0.8,1.0,0.4921,KEEP
ichi_dist_tenkan,0.8292,0.4407,0.0099,0.8,1.0,0.4907,KEEP
force_index,0.799,1.4206,0.0505,1.0,1.0,0.4889,REMOVE (high drift)
returns_1h_decay_std_24,0.7157,2.3693,0.185,1.0,1.0,0.4887,REMOVE (high drift)
dist_hma20,0.8824,0.1949,0.0326,0.6,1.0,0.488,KEEP
volume_delta_1,0.906,0.1281,0.0065,0.6,1.0,0.488,KEEP
returns_1h_delta_1,0.9129,0.2151,0.0069,0.6,1.0,0.4859,KEEP
close_delta_1,0.8903,0.1832,0.0199,0.6,1.0,0.4859,KEEP
keltner_width,0.598,1.5804,0.2129,1.0,1.0,0.4855,REMOVE (high drift)
volume_delta,0.8771,0.161,0.0259,0.6,1.0,0.4854,KEEP
rvi_osc,0.7885,0.6969,0.0578,0.8,1.0,0.4848,KEEP
bands_confluence,0.7883,0.4338,0.0232,0.8,1.0,0.4841,KEEP
elder_bear,0.7895,0.4952,0.0286,0.8,1.0,0.4835,KEEP
dist_bear_ob,0.8589,0.4413,0.0644,0.6,1.0,0.4814,KEEP
total_confluence,0.7826,0.4037,0.0167,0.8,1.0,0.4813,KEEP
gaussian_position,0.7853,0.4209,0.0169,0.8,1.0,0.4813,KEEP
fisher,0.8555,0.1205,0.0264,0.6,1.0,0.4812,KEEP
williams_r,0.8727,0.1794,0.021,0.6,1.0,0.4812,KEEP
returns_1h,0.8778,0.2315,0.0197,0.6,1.0,0.4797,KEEP
ret_1h,0.8778,0.2315,0.0197,0.6,1.0,0.4797,KEEP
log_returns,0.8778,0.2335,0.0197,0.6,1.0,0.4796,KEEP
dist_kama,0.8012,0.6092,0.0204,0.8,1.0,0.4781,KEEP
macd_hist,0.8714,0.4475,0.0457,0.6,1.0,0.4773,KEEP
rel_perf_1h,0.9001,0.2381,0.0473,0.5,0.8,0.477,KEEP
dist_ema_9,0.7658,0.4939,0.0261,0.8,1.0,0.4755,KEEP
volatility_kurt,0.8436,0.21,0.0245,0.6,1.0,0.4724,KEEP
elder_bull_bear,0.7744,0.5362,0.0153,0.8,1.0,0.4716,KEEP
ichi_dist_kijun,0.7699,1.6085,0.0456,1.0,1.0,0.4688,REMOVE (high drift)
dist_ema_21,0.7172,1.1617,0.0262,1.0,1.0,0.4676,REMOVE (high drift)
linreg_slope_14,0.7702,0.7831,0.0385,0.8,1.0,0.4673,KEEP
aroon_down,0.6986,0.433,0.0472,0.8,1.0,0.4668,KEEP
close_delta_4,0.8175,0.2721,0.0342,0.6,1.0,0.4653,KEEP
structure_bias,0.8068,0.1616,0.0252,0.6,1.0,0.4641,KEEP
tsi,0.7389,1.6342,0.0597,1.0,1.0,0.4639,REMOVE (high drift)
adx_14,0.8258,0.414,0.0376,0.6,1.0,0.4621,KEEP
btc_ratio_ma_dist,0.7742,0.8112,0.0502,0.75,0.8,0.4618,KEEP
sar_dist,0.8395,0.5137,0.0389,0.6,1.0,0.4617,KEEP
parkinson_vol,0.5909,2.5841,0.2104,1.0,1.0,0.4614,REMOVE (high drift)
btc_1h_return,0.8718,0.2444,0.029,0.5,0.8,0.4609,KEEP
close_delta_12,0.7826,0.8756,0.0243,0.8,1.0,0.4607,KEEP
returns_4h,0.8022,0.2756,0.0341,0.6,1.0,0.4605,KEEP
ret_4h,0.8022,0.2756,0.0341,0.6,1.0,0.4605,KEEP
supertrend_dist,0.6826,1.4165,0.0615,1.0,1.0,0.4585,REMOVE (high drift)
volatility_skew,0.8355,0.5215,0.0334,0.6,1.0,0.4579,KEEP
trend_confluence,0.802,1.0339,0.0196,0.8,1.0,0.4567,REMOVE (high drift)
