timestamp,side,entry_price,exit_price,gross_pnl,net_pnl,classification
2026-03-26 15:00:00,SELL,69082.64,68439.23323883001,0.00835843646309491,0.00735843646309491,WIN
2026-03-28 06:00:00,BUY,66382.0,66836.95081,0.005675798516809658,0.004675798516809658,WIN
2026-04-02 01:00:00,SELL,67359.27,66371.36513470171,0.009880052780517696,0.008880052780517695,WIN
2026-04-05 15:00:00,BUY,67306.64,67707.81938924346,0.004460587289116514,0.003460587289116514,WIN
2026-04-05 17:00:00,BUY,67373.64,67812.18816213486,0.0046249626920643015,0.0036249626920643015,WIN
2026-04-05 18:00:00,BUY,67413.78,67869.45635148352,0.004692711617289937,0.0036927116172899366,WIN
2026-04-05 22:00:00,BUY,68338.43,68980.12069259575,0.005938616299580091,0.004938616299580091,WIN
2026-04-05 23:00:00,BUY,69034.18,69852.91909060277,0.006777177003375065,0.005777177003375065,WIN
2026-04-06 00:00:00,BUY,69083.78,70018.49716806461,0.007234073509833156,0.006234073509833156,WIN
2026-04-11 06:00:00,SELL,72762.0,73172.84244865173,-0.004778640342093785,-0.005778640342093785,LOSS
2026-04-11 08:00:00,SELL,72664.17,73052.834235,-0.004429626635206091,-0.005429626635206091,LOSS
2026-04-12 01:00:00,SELL,71643.69,70972.04584095108,0.007531784824914216,0.006531784824914216,WIN
2026-04-13 07:00:00,SELL,70813.88,71425.74202280784,-0.0058037532432100225,-0.0068037532432100225,LOSS
2026-04-16 14:00:00,SELL,73973.33,75056.16074542236,-0.007890585122271225,-0.008890585122271224,LOSS
2026-04-19 22:00:00,SELL,74047.34,74047.34,0.0,-0.001,LOSS
2026-04-26 21:00:00,BUY,78417.41,78040.78468863798,-0.004460099212297754,-0.005460099212297754,LOSS
2026-04-27 15:00:00,SELL,76793.09,75988.21367278529,0.006781893675961863,0.005781893675961863,WIN
2026-04-29 14:00:00,SELL,76570.0,75647.337435261,0.006938760051493476,0.005938760051493476,WIN
2026-04-29 18:00:00,SELL,75513.91,75513.91,0.0,-0.001,LOSS
2026-05-01 13:00:00,BUY,78737.25,78737.25,0.0,-0.001,LOSS
2026-05-03 22:00:00,BUY,79177.29,79177.29,0.0,-0.001,LOSS
2026-05-07 14:00:00,SELL,80171.38,79588.74903791364,0.00610178559267127,0.00510178559267127,WIN
2026-05-07 15:00:00,SELL,79890.63,79286.4868717255,0.0062492506496515665,0.0052492506496515665,WIN
2026-05-07 16:00:00,SELL,79801.08,79256.63032554615,0.006337905630922731,0.005337905630922731,WIN
2026-05-10 16:00:00,BUY,81378.25,81378.25,0.0,-0.001,LOSS
2026-05-12 16:00:00,SELL,80000.01,80000.01,0.0,-0.001,LOSS
2026-05-15 13:00:00,SELL,78758.59,77878.63762149429,0.007688576300965083,0.006688576300965083,WIN
2026-05-17 23:00:00,SELL,77457.67,76968.70621590172,0.005217762350529215,0.004217762350529215,WIN
2026-05-18 14:00:00,SELL,76393.65,77495.43303534033,-0.00684604395410201,-0.00784604395410201,LOSS
2026-05-20 14:00:00,BUY,77446.08,78186.93994251621,0.00536458028974113,0.00436458028974113,WIN
2026-05-22 13:00:00,SELL,77290.01,77040.59322499999,0.0036157140027355665,0.0026157140027355664,WIN
2026-05-22 14:00:00,SELL,76774.23,76525.60933584918,0.003952743741524432,0.002952743741524432,WIN
2026-05-22 16:00:00,SELL,76950.68,76648.73028671263,0.004187910638717844,0.0031879106387178438,WIN
2026-05-22 19:00:00,SELL,75860.44,75344.1775294027,0.005812719100646259,0.004812719100646259,WIN
2026-05-24 20:00:00,SELL,76668.4,76298.03389463716,0.004543276164439531,0.003543276164439531,WIN
2026-05-25 20:00:00,SELL,77273.06,76994.85331570075,0.003865209575349675,0.002865209575349675,WIN
2026-05-26 00:00:00,SELL,76792.71,77317.24678831486,-0.004589498143769085,-0.005589498143769085,LOSS
2026-05-26 02:00:00,SELL,76660.0,77203.921735053,-0.0048522045395251534,-0.0058522045395251535,LOSS
2026-05-26 05:00:00,SELL,76930.01,77466.8810543794,-0.004550132182300671,-0.005550132182300671,LOSS
2026-05-26 06:00:00,SELL,76908.01,77442.89278280738,-0.004536198505201207,-0.005536198505201207,LOSS
2026-05-28 03:00:00,SELL,73258.01,73258.01,0.0,-0.001,LOSS
2026-06-01 06:00:00,SELL,73135.74,72472.42548964167,0.006148781899051155,0.0051487818990511545,WIN
2026-06-01 07:00:00,SELL,72818.0,72092.15707694493,0.006449311983300799,0.005449311983300799,WIN
2026-06-01 08:00:00,SELL,72902.65,72125.05071070677,0.00665757104067644,0.00565757104067644,WIN
2026-06-01 09:00:00,SELL,72880.0,72015.64990088786,0.007015046259996851,0.006015046259996851,WIN
2026-06-01 12:00:00,SELL,72221.73,71433.66550346499,0.007895648976719715,0.006895648976719715,WIN
2026-06-01 13:00:00,SELL,71711.89,70903.00390402648,0.008137813687520982,0.007137813687520982,WIN
2026-06-02 13:00:00,SELL,68811.91,67997.13410790917,0.008310729099906449,0.007310729099906449,WIN
2026-06-02 14:00:00,SELL,68019.3,67006.23758719667,0.009553359960229785,0.008553359960229785,WIN
2026-06-02 15:00:00,SELL,67304.28,66236.76744959147,0.009978546047039787,0.008978546047039786,WIN
