2026-05-29 12:45:36 | INFO | Saved 50 news items to d:\Content\Animesh\bots\ai_signal_bot\data\news_data.json
2026-05-29 12:45:36 | INFO | Scraping complete. Total stored: 50 items. Avg sentiment (last 50): 0.0485
2026-05-29 13:19:29 | INFO | Starting news scraping cycle...
2026-05-29 13:19:29 | INFO | Fetching RSS: https://cointelegraph.com/rss
2026-05-29 13:19:30 | INFO | Fetching RSS: https://www.coindesk.com/feed/
2026-05-29 13:19:30 | WARNING | Feedparser error for https://www.coindesk.com/feed/: text/html; charset=utf-8 is not an XML media type
2026-05-29 13:19:31 | INFO | Fetching RSS: https://cryptoslate.com/feed/
2026-05-29 13:19:33 | INFO | Fetching RSS: https://decrypt.co/feed
2026-05-29 13:19:34 | INFO | No new unique headlines found.
2026-05-29 13:19:34 | INFO | Saved 50 news items to d:\Content\Animesh\bots\ai_signal_bot\data\news_data.json
2026-05-29 17:00:14 | INFO | Starting news scraping cycle...
2026-05-29 17:00:14 | INFO | Fetching RSS: https://cointelegraph.com/rss
2026-05-29 17:00:16 | INFO | Fetching RSS: https://www.coindesk.com/feed/
2026-05-29 17:00:17 | WARNING | Feedparser error for https://www.coindesk.com/feed/: text/html; charset=utf-8 is not an XML media type
2026-05-29 17:00:18 | INFO | Fetching RSS: https://cryptoslate.com/feed/
2026-05-29 17:00:20 | INFO | Fetching RSS: https://decrypt.co/feed
2026-05-29 17:00:21 | INFO | Fetched 50 raw articles, 8 new unique items.
2026-05-29 17:00:21 | INFO | Pruned 2 old news items (>48h)
2026-05-29 17:00:21 | INFO | Saved 56 news items to d:\Content\Animesh\bots\ai_signal_bot\data\news_data.json
2026-05-29 17:00:21 | INFO | Scraping complete. Total stored: 56 items. Avg sentiment (last 50): 0.0169
2026-05-29 17:52:57 | INFO | Starting news scraping cycle...
2026-05-29 17:52:57 | INFO | Fetching RSS: https://cointelegraph.com/rss
2026-05-29 17:52:59 | INFO | Fetching RSS: https://www.coindesk.com/feed/
2026-05-29 17:52:59 | WARNING | Feedparser error for https://www.coindesk.com/feed/: text/html; charset=utf-8 is not an XML media type
2026-05-29 17:53:00 | INFO | Fetching RSS: https://cryptoslate.com/feed/
2026-05-29 17:53:20 | WARNING | Feedparser error for https://cryptoslate.com/feed/: <unknown>:26:113: not well-formed (invalid token)
2026-05-29 17:53:21 | INFO | Fetching RSS: https://decrypt.co/feed
2026-05-29 17:53:22 | INFO | Fetched 40 raw articles, 4 new unique items.
2026-05-29 17:53:22 | INFO | Pruned 1 old news items (>48h)
2026-05-29 17:53:22 | INFO | Saved 59 news items to d:\Content\Animesh\bots\ai_signal_bot\data\news_data.json
2026-05-29 17:53:22 | INFO | Scraping complete. Total stored: 59 items. Avg sentiment (last 50): 0.0053
2026-05-29 22:52:01 | INFO | Starting news scraping cycle...
2026-05-29 22:52:01 | INFO | Fetching RSS: https://cointelegraph.com/rss
2026-05-29 22:52:03 | INFO | Fetching RSS: https://www.coindesk.com/feed/
2026-05-29 22:52:03 | WARNING | Feedparser error for https://www.coindesk.com/feed/: text/html; charset=utf-8 is not an XML media type
2026-05-29 22:52:04 | INFO | Fetching RSS: https://cryptoslate.com/feed/
2026-05-29 22:52:06 | INFO | Fetching RSS: https://decrypt.co/feed
2026-05-29 22:52:07 | INFO | Fetched 50 raw articles, 15 new unique items.
2026-05-29 22:52:07 | INFO | Pruned 4 old news items (>48h)
2026-05-29 22:52:07 | INFO | Saved 70 news items to d:\Content\Animesh\bots\ai_signal_bot\data\news_data.json
2026-05-29 22:52:07 | INFO | Scraping complete. Total stored: 70 items. Avg sentiment (last 50): 0.0313
2026-05-29 23:31:59 | INFO | Starting news scraping cycle...
2026-05-29 23:31:59 | INFO | Fetching RSS: https://cointelegraph.com/rss
2026-05-29 23:32:01 | INFO | Fetching RSS: https://www.coindesk.com/feed/
2026-05-29 23:32:01 | WARNING | Feedparser error for https://www.coindesk.com/feed/: text/html; charset=utf-8 is not an XML media type
2026-05-29 23:32:02 | INFO | Fetching RSS: https://cryptoslate.com/feed/
2026-05-29 23:32:04 | INFO | Fetching RSS: https://decrypt.co/feed
2026-05-29 23:32:05 | INFO | Fetched 50 raw articles, 1 new unique items.
2026-05-29 23:32:05 | INFO | Saved 71 news items to d:\Content\Animesh\bots\ai_signal_bot\data\news_data.json
2026-05-29 23:32:05 | INFO | Scraping complete. Total stored: 71 items. Avg sentiment (last 50): 0.0385
2026-05-30 00:23:24 | INFO | Starting news scraping cycle...
2026-05-30 00:23:24 | INFO | Fetching RSS: https://cointelegraph.com/rss
2026-05-30 00:23:28 | INFO | Fetching RSS: https://www.coindesk.com/feed/
2026-05-30 00:23:28 | WARNING | Feedparser error for https://www.coindesk.com/feed/: text/html; charset=utf-8 is not an XML media type
2026-05-30 00:23:29 | INFO | Fetching RSS: https://cryptoslate.com/feed/
2026-05-30 00:23:31 | INFO | Fetching RSS: https://decrypt.co/feed
2026-05-30 00:23:32 | INFO | Fetched 50 raw articles, 4 new unique items.
2026-05-30 00:23:32 | INFO | Saved 75 news items to d:\Content\Animesh\bots\ai_signal_bot\data\news_data.json
2026-05-30 00:23:32 | INFO | Scraping complete. Total stored: 75 items. Avg sentiment (last 50): 0.0492
2026-05-30 12:42:09 | INFO | Starting news scraping cycle...
2026-05-30 12:42:09 | INFO | Fetching RSS: https://cointelegraph.com/rss
2026-05-30 12:42:10 | INFO | Fetching RSS: https://www.coindesk.com/feed/
2026-05-30 12:42:10 | WARNING | Feedparser error for https://www.coindesk.com/feed/: text/html; charset=utf-8 is not an XML media type
2026-05-30 12:42:11 | INFO | Fetching RSS: https://cryptoslate.com/feed/
2026-05-30 12:42:13 | INFO | Fetching RSS: https://decrypt.co/feed
2026-05-30 12:42:14 | INFO | Fetched 50 raw articles, 10 new unique items.
2026-05-30 12:42:14 | INFO | Pruned 6 old news items (>48h)
2026-05-30 12:42:14 | INFO | Saved 79 news items to d:\Content\Animesh\bots\ai_signal_bot\data\news_data.json
2026-05-30 12:42:14 | INFO | Scraping complete. Total stored: 79 items. Avg sentiment (last 50): 0.0307
2026-05-30 13:13:25 | INFO | Starting news scraping cycle...
2026-05-30 13:13:25 | INFO | Fetching RSS: https://cointelegraph.com/rss
2026-05-30 13:13:26 | INFO | Fetching RSS: https://www.coindesk.com/feed/
2026-05-30 13:13:27 | WARNING | Feedparser error for https://www.coindesk.com/feed/: text/html; charset=utf-8 is not an XML media type
2026-05-30 13:13:28 | INFO | Fetching RSS: https://cryptoslate.com/feed/
2026-05-30 13:13:30 | INFO | Fetching RSS: https://decrypt.co/feed
2026-05-30 13:13:31 | INFO | Fetched 50 raw articles, 1 new unique items.
2026-05-30 13:13:31 | INFO | Pruned 1 old news items (>48h)
2026-05-30 13:13:31 | INFO | Saved 79 news items to d:\Content\Animesh\bots\ai_signal_bot\data\news_data.json
2026-05-30 13:13:31 | INFO | Scraping complete. Total stored: 79 items. Avg sentiment (last 50): 0.0307
2026-05-30 13:55:08 | INFO | Starting news scraping cycle...
2026-05-30 13:55:08 | INFO | Fetching RSS: https://cointelegraph.com/rss
2026-05-30 13:55:09 | INFO | Fetching RSS: https://www.coindesk.com/feed/
2026-05-30 13:55:09 | WARNING | Feedparser error for https://www.coindesk.com/feed/: text/html; charset=utf-8 is not an XML media type
2026-05-30 13:55:10 | INFO | Fetching RSS: https://cryptoslate.com/feed/
2026-05-30 13:55:12 | INFO | Fetching RSS: https://decrypt.co/feed
2026-05-30 13:55:14 | INFO | Fetched 50 raw articles, 1 new unique items.
2026-05-30 13:55:14 | INFO | Pruned 2 old news items (>48h)
2026-05-30 13:55:14 | INFO | Saved 78 news items to d:\Content\Animesh\bots\ai_signal_bot\data\news_data.json
2026-05-30 13:55:14 | INFO | Scraping complete. Total stored: 78 items. Avg sentiment (last 50): 0.0307
2026-05-30 14:25:51 | INFO | Starting news scraping cycle...
2026-05-30 14:25:51 | INFO | Fetching RSS: https://cointelegraph.com/rss
2026-05-30 14:25:52 | INFO | Fetching RSS: https://www.coindesk.com/feed/
2026-05-30 14:25:52 | WARNING | Feedparser error for https://www.coindesk.com/feed/: text/html; charset=utf-8 is not an XML media type
2026-05-30 14:25:53 | INFO | Fetching RSS: https://cryptoslate.com/feed/
2026-05-30 14:25:55 | INFO | Fetching RSS: https://decrypt.co/feed
2026-05-30 14:25:56 | INFO | Fetched 50 raw articles, 2 new unique items.
2026-05-30 14:25:56 | INFO | Pruned 3 old news items (>48h)
2026-05-30 14:25:56 | INFO | Saved 77 news items to d:\Content\Animesh\bots\ai_signal_bot\data\news_data.json
2026-05-30 14:25:56 | INFO | Scraping complete. Total stored: 77 items. Avg sentiment (last 50): 0.0252
2026-05-30 14:56:38 | INFO | Starting news scraping cycle...
2026-05-30 14:56:38 | INFO | Fetching RSS: https://cointelegraph.com/rss
2026-05-30 14:56:39 | INFO | Fetching RSS: https://www.coindesk.com/feed/
2026-05-30 14:56:40 | WARNING | Feedparser error for https://www.coindesk.com/feed/: text/html; charset=utf-8 is not an XML media type
2026-05-30 14:56:41 | INFO | Fetching RSS: https://cryptoslate.com/feed/
2026-05-30 14:56:43 | INFO | Fetching RSS: https://decrypt.co/feed
2026-05-30 14:56:44 | INFO | Fetched 50 raw articles, 3 new unique items.
2026-05-30 14:56:44 | INFO | Pruned 3 old news items (>48h)
2026-05-30 14:56:44 | INFO | Saved 77 news items to d:\Content\Animesh\bots\ai_signal_bot\data\news_data.json
2026-05-30 14:56:44 | INFO | Scraping complete. Total stored: 77 items. Avg sentiment (last 50): 0.0288
2026-05-30 23:29:34 | INFO | Starting news scraping cycle...
2026-05-30 23:29:34 | INFO | Fetching RSS: https://cointelegraph.com/rss
2026-05-30 23:29:36 | INFO | Fetching RSS: https://www.coindesk.com/feed/
2026-05-30 23:29:36 | WARNING | Feedparser error for https://www.coindesk.com/feed/: text/html; charset=utf-8 is not an XML media type
2026-05-30 23:29:37 | INFO | Fetching RSS: https://cryptoslate.com/feed/
2026-05-30 23:29:39 | INFO | Fetching RSS: https://decrypt.co/feed
2026-05-30 23:29:40 | INFO | Fetched 50 raw articles, 8 new unique items.
2026-05-30 23:29:40 | INFO | Pruned 30 old news items (>48h)
2026-05-30 23:29:40 | INFO | Saved 55 news items to d:\Content\Animesh\bots\ai_signal_bot\data\news_data.json
2026-05-30 23:29:40 | INFO | Scraping complete. Total stored: 55 items. Avg sentiment (last 50): 0.0062
2026-05-31 11:25:09 | INFO | Starting news scraping cycle...
2026-05-31 11:25:09 | INFO | Fetching RSS: https://cointelegraph.com/rss
2026-05-31 11:25:10 | INFO | Fetching RSS: https://www.coindesk.com/feed/
2026-05-31 11:25:10 | WARNING | Feedparser error for https://www.coindesk.com/feed/: text/html; charset=utf-8 is not an XML media type
2026-05-31 11:25:11 | INFO | Fetching RSS: https://cryptoslate.com/feed/
2026-05-31 11:25:13 | INFO | Fetching RSS: https://decrypt.co/feed
2026-05-31 11:25:15 | INFO | Fetched 50 raw articles, 8 new unique items.
2026-05-31 11:25:15 | INFO | Pruned 15 old news items (>48h)
2026-05-31 11:25:15 | INFO | Saved 48 news items to d:\Content\Animesh\bots\ai_signal_bot\data\news_data.json
2026-05-31 11:25:15 | INFO | Scraping complete. Total stored: 48 items. Avg sentiment (last 50): 0.0065
2026-05-31 13:53:59 | INFO | Starting news scraping cycle...
2026-05-31 13:53:59 | INFO | Fetching RSS: https://cointelegraph.com/rss
2026-05-31 13:54:00 | INFO | Fetching RSS: https://www.coindesk.com/feed/
2026-05-31 13:54:00 | WARNING | Feedparser error for https://www.coindesk.com/feed/: text/html; charset=utf-8 is not an XML media type
2026-05-31 13:54:01 | INFO | Fetching RSS: https://cryptoslate.com/feed/
2026-05-31 13:54:03 | INFO | Fetching RSS: https://decrypt.co/feed
2026-05-31 13:54:05 | INFO | Fetched 50 raw articles, 7 new unique items.
2026-05-31 13:54:05 | INFO | Pruned 14 old news items (>48h)
2026-05-31 13:54:05 | INFO | Saved 41 news items to d:\Content\Animesh\bots\ai_signal_bot\data\news_data.json
2026-05-31 13:54:05 | INFO | Scraping complete. Total stored: 41 items. Avg sentiment (last 50): -0.0199
2026-06-03 15:22:25 | INFO | Starting news scraping cycle...
2026-06-03 15:22:25 | INFO | Fetching RSS: https://cointelegraph.com/rss
2026-06-03 15:22:27 | INFO | Fetching RSS: https://www.coindesk.com/feed/
2026-06-03 15:22:27 | WARNING | Feedparser error for https://www.coindesk.com/feed/: text/html; charset=utf-8 is not an XML media type
2026-06-03 15:22:28 | INFO | Fetching RSS: https://cryptoslate.com/feed/
2026-06-03 15:22:30 | INFO | Fetching RSS: https://decrypt.co/feed
2026-06-03 15:22:31 | INFO | Fetched 50 raw articles, 50 new unique items.
2026-06-03 15:22:31 | INFO | Pruned 33 old news items (>48h)
2026-06-03 15:22:31 | INFO | Saved 50 news items to d:\Content\Animesh\bots\ai_signal_bot\data\news_data.json
2026-06-03 15:22:31 | INFO | Scraping complete. Total stored: 50 items. Avg sentiment (last 50): -0.0532
2026-06-03 16:05:48 | INFO | Starting news scraping cycle...
2026-06-03 16:05:48 | INFO | Fetching RSS: https://cointelegraph.com/rss
2026-06-03 16:05:49 | INFO | Fetching RSS: https://www.coindesk.com/feed/
2026-06-03 16:05:50 | WARNING | Feedparser error for https://www.coindesk.com/feed/: text/html; charset=utf-8 is not an XML media type
2026-06-03 16:05:51 | INFO | Fetching RSS: https://cryptoslate.com/feed/
2026-06-03 16:05:53 | INFO | Fetching RSS: https://decrypt.co/feed
2026-06-03 16:05:54 | INFO | No new unique headlines found.
2026-06-03 16:05:54 | INFO | Saved 50 news items to d:\Content\Animesh\bots\ai_signal_bot\data\news_data.json
2026-06-03 22:21:50 | INFO | Starting news scraping cycle...
2026-06-03 22:21:50 | INFO | Fetching RSS: https://cointelegraph.com/rss
2026-06-03 22:21:52 | INFO | Fetching RSS: https://www.coindesk.com/feed/
2026-06-03 22:21:52 | WARNING | Feedparser error for https://www.coindesk.com/feed/: text/html; charset=utf-8 is not an XML media type
2026-06-03 22:21:53 | INFO | Fetching RSS: https://cryptoslate.com/feed/
2026-06-03 22:21:55 | INFO | Fetching RSS: https://decrypt.co/feed
2026-06-03 22:21:56 | INFO | Fetched 50 raw articles, 24 new unique items.
2026-06-03 22:21:56 | INFO | Pruned 2 old news items (>48h)
2026-06-03 22:21:56 | INFO | Saved 72 news items to d:\Content\Animesh\bots\ai_signal_bot\data\news_data.json
2026-06-03 22:21:56 | INFO | Scraping complete. Total stored: 72 items. Avg sentiment (last 50): -0.0465
2026-06-03 23:01:18 | INFO | Starting news scraping cycle...
2026-06-03 23:01:18 | INFO | Fetching RSS: https://cointelegraph.com/rss
2026-06-03 23:01:19 | INFO | Fetching RSS: https://www.coindesk.com/feed/
2026-06-03 23:01:19 | WARNING | Feedparser error for https://www.coindesk.com/feed/: text/html; charset=utf-8 is not an XML media type
2026-06-03 23:01:20 | INFO | Fetching RSS: https://cryptoslate.com/feed/
2026-06-03 23:01:23 | INFO | Fetching RSS: https://decrypt.co/feed
2026-06-03 23:01:24 | INFO | Fetched 50 raw articles, 3 new unique items.
2026-06-03 23:01:24 | INFO | Saved 75 news items to d:\Content\Animesh\bots\ai_signal_bot\data\news_data.json
2026-06-03 23:01:24 | INFO | Scraping complete. Total stored: 75 items. Avg sentiment (last 50): -0.0226
2026-06-04 00:15:50 | INFO | Starting news scraping cycle...
2026-06-04 00:15:50 | INFO | Fetching RSS: https://cointelegraph.com/rss
2026-06-04 00:15:51 | INFO | Fetching RSS: https://www.coindesk.com/feed/
2026-06-04 00:15:51 | WARNING | Feedparser error for https://www.coindesk.com/feed/: text/html; charset=utf-8 is not an XML media type
2026-06-04 00:15:52 | INFO | Fetching RSS: https://cryptoslate.com/feed/
2026-06-04 00:15:54 | INFO | Fetching RSS: https://decrypt.co/feed
2026-06-04 00:15:56 | INFO | Fetched 50 raw articles, 6 new unique items.
2026-06-04 00:15:56 | INFO | Saved 81 news items to d:\Content\Animesh\bots\ai_signal_bot\data\news_data.json
2026-06-04 00:15:56 | INFO | Scraping complete. Total stored: 81 items. Avg sentiment (last 50): -0.0002
2026-06-04 12:58:37 | INFO | Starting news scraping cycle...
2026-06-04 12:58:37 | INFO | Fetching RSS: https://cointelegraph.com/rss
2026-06-04 12:58:39 | INFO | Fetching RSS: https://www.coindesk.com/feed/
2026-06-04 12:58:39 | WARNING | Feedparser error for https://www.coindesk.com/feed/: text/html; charset=utf-8 is not an XML media type
2026-06-04 12:58:40 | INFO | Fetching RSS: https://cryptoslate.com/feed/
2026-06-04 12:58:42 | INFO | Fetching RSS: https://decrypt.co/feed
2026-06-04 12:58:43 | INFO | Fetched 50 raw articles, 17 new unique items.
2026-06-04 12:58:43 | INFO | Pruned 6 old news items (>48h)
2026-06-04 12:58:43 | INFO | Saved 92 news items to d:\Content\Animesh\bots\ai_signal_bot\data\news_data.json
2026-06-04 12:58:43 | INFO | Scraping complete. Total stored: 92 items. Avg sentiment (last 50): 0.0259
2026-06-04 13:47:12 | INFO | Starting news scraping cycle...
2026-06-04 13:47:12 | INFO | Fetching RSS: https://cointelegraph.com/rss
2026-06-04 13:47:13 | INFO | Fetching RSS: https://www.coindesk.com/feed/
2026-06-04 13:47:14 | WARNING | Feedparser error for https://www.coindesk.com/feed/: text/html; charset=utf-8 is not an XML media type
2026-06-04 13:47:15 | INFO | Fetching RSS: https://cryptoslate.com/feed/
2026-06-04 13:47:17 | INFO | Fetching RSS: https://decrypt.co/feed
2026-06-04 13:47:18 | INFO | Fetched 50 raw articles, 3 new unique items.
2026-06-04 13:47:18 | INFO | Pruned 2 old news items (>48h)
2026-06-04 13:47:18 | INFO | Saved 93 news items to d:\Content\Animesh\bots\ai_signal_bot\data\news_data.json
2026-06-04 13:47:18 | INFO | Scraping complete. Total stored: 93 items. Avg sentiment (last 50): 0.0246
2026-06-04 14:24:58 | INFO | Starting news scraping cycle...
2026-06-04 14:24:58 | INFO | Fetching RSS: https://cointelegraph.com/rss
2026-06-04 14:24:59 | INFO | Fetching RSS: https://www.coindesk.com/feed/
2026-06-04 14:24:59 | WARNING | Feedparser error for https://www.coindesk.com/feed/: text/html; charset=utf-8 is not an XML media type
2026-06-04 14:25:00 | INFO | Fetching RSS: https://cryptoslate.com/feed/
2026-06-04 14:25:04 | INFO | Fetching RSS: https://decrypt.co/feed
2026-06-04 14:25:05 | INFO | Fetched 50 raw articles, 1 new unique items.
2026-06-04 14:25:05 | INFO | Pruned 2 old news items (>48h)
2026-06-04 14:25:05 | INFO | Saved 92 news items to D:\Content\Animesh\bots\ai_signal_bot\data\news_data.json
2026-06-04 14:25:05 | INFO | Scraping complete. Total stored: 92 items. Avg sentiment (last 50): 0.0288
2026-06-04 15:02:27 | INFO | Starting news scraping cycle...
2026-06-04 15:02:27 | INFO | Fetching RSS: https://cointelegraph.com/rss
2026-06-04 15:02:28 | INFO | Fetching RSS: https://www.coindesk.com/feed/
2026-06-04 15:02:29 | WARNING | Feedparser error for https://www.coindesk.com/feed/: text/html; charset=utf-8 is not an XML media type
2026-06-04 15:02:30 | INFO | Fetching RSS: https://cryptoslate.com/feed/
2026-06-04 15:02:32 | INFO | Fetching RSS: https://decrypt.co/feed
2026-06-04 15:02:33 | INFO | Fetched 50 raw articles, 3 new unique items.
2026-06-04 15:02:33 | INFO | Pruned 3 old news items (>48h)
2026-06-04 15:02:33 | INFO | Saved 92 news items to d:\Content\Animesh\bots\ai_signal_bot\data\news_data.json
2026-06-04 15:02:33 | INFO | Scraping complete. Total stored: 92 items. Avg sentiment (last 50): 0.0203
2026-06-04 18:29:19 | INFO | Starting news scraping cycle...
2026-06-04 18:29:19 | INFO | Fetching RSS: https://cointelegraph.com/rss
2026-06-04 18:29:21 | INFO | Fetching RSS: https://www.coindesk.com/feed/
2026-06-04 18:29:21 | WARNING | Feedparser error for https://www.coindesk.com/feed/: text/html; charset=utf-8 is not an XML media type
2026-06-04 18:29:22 | INFO | Fetching RSS: https://cryptoslate.com/feed/
2026-06-04 18:29:25 | INFO | Fetching RSS: https://decrypt.co/feed
2026-06-04 18:29:26 | INFO | Fetched 50 raw articles, 10 new unique items.
2026-06-04 18:29:26 | INFO | Pruned 13 old news items (>48h)
2026-06-04 18:29:26 | INFO | Saved 89 news items to d:\Content\Animesh\bots\ai_signal_bot\data\news_data.json
2026-06-04 18:29:26 | INFO | Scraping complete. Total stored: 89 items. Avg sentiment (last 50): 0.0210
2026-06-04 19:21:26 | INFO | Starting news scraping cycle...
2026-06-04 19:21:26 | INFO | Fetching RSS: https://cointelegraph.com/rss
2026-06-04 19:21:28 | INFO | Fetching RSS: https://www.coindesk.com/feed/
2026-06-04 19:21:28 | WARNING | Feedparser error for https://www.coindesk.com/feed/: text/html; charset=utf-8 is not an XML media type
2026-06-04 19:21:29 | INFO | Fetching RSS: https://cryptoslate.com/feed/
