symbol,bar,timestamp,direction,edge_score,meta_conf,regime_str,adx,vol_z,rsi,rsi_slope,rsi_accel,macro_w,macro_d,total_conf,macd_hist,choppiness,bos,atr,atr_pct,price,blk_dir_regime,blk_htf_veto,blk_atr_live,blk_min_quality,blk_score_signal,blk_stability,blk_adx25,blk_macd_align,score_signal,exit_bar,exit_reason,pnl,won,bars_held
SOL/USDT,10,2026-04-20 23:00:00,short,89.41992723592044,0.6220924854278564,med_med_flat,28.417979920808765,-0.14769196754022693,52.14592259011959,0.12130449791356634,-0.7107529539904767,0.0,0.0,0.17642373954054963,0.06249645655820442,66.9525577171178,0.0,0.7154545454545446,0.008389476377281244,85.28,False,False,False,False,False,False,False,True,53.0,37,SL,-1.6813181818181846,False,27
SOL/USDT,50,2026-04-22 15:00:00,short,93.12626004167747,0.6264745593070984,med_med_up,61.91426246618856,1.0761732810647664,70.44967858965859,1.501352083602355,-0.6819873609416387,0.0,0.0,0.4292208985454016,0.06453149737896746,46.263862917682296,0.0,0.7150000000000004,0.008108414606486735,88.18,False,False,False,False,False,False,False,True,53.0,76,TP,3.360500000000002,True,26
SOL/USDT,449,2026-05-09 06:00:00,short,85.45043166430851,0.565705418586731,med_med_up,71.68918268877702,-0.12723249044911125,79.3462108304835,-0.7141821000104812,-0.33996700185289247,0.0,0.0,0.4678209053161847,0.1240114960150378,34.652213472754724,0.0,0.8871428571428552,0.00948410153028496,93.54,False,False,False,False,False,False,False,True,53.0,484,SL,-2.084785714285715,False,35
SOL/USDT,581,2026-05-14 18:00:00,short,87.79839484583657,0.6898325681686401,med_med_up,27.73830746481024,-0.0583088930831391,71.91679034073775,1.3562146303984977,-0.08811817262765986,0.0,0.0,0.6568279886067598,0.4145425709654764,42.617187149558816,0.0,0.9257142857142853,0.009908105380651667,93.43,False,False,False,False,False,False,False,True,53.0,600,TP,4.350857142857137,True,19
SOL/USDT,922,2026-05-28 23:00:00,short,86.44725792985103,0.7228361368179321,low_med_flat,45.0485775546555,-1.002181421093631,59.2132503459658,3.3206585373367643,-0.41350059281025375,0.0,0.0,0.396406610194492,0.1860840053878035,47.11409875582177,0.0,0.7671428571428578,0.009342867581815344,82.11,False,False,False,False,False,False,False,True,43.0,970,TIMEOUT,-0.6200000000000045,False,48
SOL/USDT,1008,2026-06-01 13:00:00,short,92.28776336420924,0.6961730718612671,low_med_down,34.09467005231865,3.806092610619345,28.18791939687398,-1.2779662605116826,-0.4477022181352479,0.0,0.0,-0.7444655376707882,-0.16489161816319514,35.14032959700786,-1.0,0.7900000000000021,0.009894789579158344,79.84,False,False,False,False,False,False,False,False,65.0,1034,TP,3.713000000000008,True,26
SOL/USDT,1056,2026-06-03 13:00:00,short,86.33332272504057,0.7009061574935913,high_high_down,49.30749805040466,-0.32208463649048963,52.35457053560049,2.883726382396811,-0.09588006185592546,0.0,0.0,-0.21118714376710218,0.2469700735854261,60.05389452790305,0.0,0.8957142857142841,0.012011724362535661,74.57,False,False,False,False,False,False,False,True,53.0,1067,TP,4.209857142857132,True,11
SOL/USDT,1083,2026-06-04 16:00:00,short,88.1956268907738,0.7124586701393127,high_high_down,46.6586203971517,-0.8816470375647243,46.18937636874698,1.0231995143999584,-0.1427604529086881,0.0,0.0,-0.39318534717321335,0.19406430330476399,60.07639359491693,0.0,1.2664285714285708,0.01824562125671475,69.41,False,False,False,False,False,False,False,True,43.0,1107,TP,5.952214285714284,True,24
SOL/USDT,1126,2026-06-06 11:00:00,short,89.04022813771718,0.661259651184082,high_high_down,52.44253848566442,-0.6572124832701672,39.103138964354805,-0.04867478026494036,0.005461234766020194,0.0,0.0,-0.35685065077729583,0.07308786030447667,59.294775521003054,0.0,1.3928571428571412,0.022299986276931496,62.46,False,False,False,False,False,False,False,True,48.0,1147,SL,-3.273214285714282,False,21
SOL/USDT,1223,2026-06-10 12:00:00,short,100.0,0.6588115692138672,med_med_down,43.71015320034498,3.0984637364062424,40.30612230502909,-0.590207766592998,0.013590939577867611,0.0,0.0,-0.3356277249580303,-0.02993560071879342,54.3389597157901,0.0,0.7157142857142854,0.011160366220400522,64.13,False,False,False,False,False,False,False,False,78.0,1246,SL,-1.6819285714285712,False,23
SOL/USDT,1249,2026-06-11 14:00:00,short,87.67474190859303,0.604513943195343,med_med_flat,43.840980082258355,-0.05128718980191112,67.49999980312494,2.019218468120894,-0.19495857544469786,0.0,0.0,0.4475745520780383,0.10133685550009475,56.01521721766475,0.0,0.6978571428571436,0.010678762706306712,65.35,False,False,False,False,False,False,False,True,53.0,1252,SL,-1.639964285714285,False,3
SOL/USDT,1272,2026-06-12 13:00:00,short,93.31899104032274,0.6280462741851807,med_med_up,23.943721898666475,1.8932051904193952,47.04225333560789,-1.7184493319180538,-0.06097413781822225,0.0,0.0,-0.1804142809912573,-0.08067332502273433,64.73401533695606,0.0,0.5349999999999976,0.008018585131894448,66.72,False,False,False,False,False,False,True,False,68.0,1273,SL,-1.257249999999999,False,1
