symbol,bar,timestamp,direction,edge_score,meta_conf,regime_str,adx,vol_z,rsi,rsi_slope,rsi_accel,macro_w,macro_d,total_conf,macd_hist,choppiness,bos,atr,atr_pct,price,blk_dir_regime,blk_htf_veto,blk_atr_live,blk_min_quality,blk_score_signal,blk_stability,blk_adx25,blk_macd_align,score_signal,exit_bar,exit_reason,pnl,won,bars_held
SOL/USDT,8,2026-04-20 21:00:00,short,83.62059453815584,0.6173815131187439,med_med_flat,27.678965520882993,-0.7530126685884906,61.57205221353528,1.283998864934286,-0.3588167256261183,0.0,0.0,0.44495270425457917,0.14327592290425661,67.4045893838027,0.0,0.7666666666666657,0.008936550491510264,85.79,False,False,False,False,True,False,False,True,53.0,38,SL,-1.8016666666666623,False,30
SOL/USDT,50,2026-04-22 15:00:00,short,93.12626004167747,0.6264745593070984,med_med_up,61.91426246618856,1.0761732810647664,70.44967858965859,1.501352083602355,-0.6819873609416387,0.0,0.0,0.4292208985454016,0.06453149737896746,46.263862917682296,0.0,0.7150000000000004,0.008108414606486735,88.18,False,False,False,False,False,False,False,True,53.0,76,TP,3.360500000000002,True,26
SOL/USDT,86,2026-04-24 03:00:00,short,65.18285869234722,0.6759658455848694,med_low_flat,15.987775205451515,-0.3093735194444249,48.78048759666867,1.0641700353307468,-0.4530901259792901,0.0,0.0,-0.3623283139484877,0.07146890865537237,49.040479771201824,0.0,0.605714285714283,0.007068669456345933,85.69,False,False,True,True,True,False,True,True,30.591429346173612,134,TIMEOUT,-0.29999999999999716,False,48
SOL/USDT,141,2026-04-26 10:00:00,short,74.28328614197882,0.66030353307724,low_low_flat,32.55968958494206,-0.48889786631827536,63.8095233841267,2.805230761395563,0.0035222832050476605,0.0,0.0,0.4627517911372896,0.0529289929757827,58.77823852611708,0.0,0.3342857142857148,0.0038654684815646943,86.48,False,False,True,False,True,False,False,True,50.14164307098941,153,SL,-0.7855714285714299,False,12
SOL/USDT,159,2026-04-27 04:00:00,short,62.00715622467115,0.561356246471405,low_low_up,17.915570146201997,-0.43196833211172786,70.88122567343444,1.5850487006863554,0.06883053119265048,0.0,0.0,0.521707230598045,0.10108241070744522,43.54178638315226,0.0,0.5564285714285718,0.00635845699267023,87.51,False,False,True,True,True,False,True,True,29.003578112335575,168,TP,2.6152142857142877,True,9
SOL/USDT,209,2026-04-29 06:00:00,short,88.46538907722714,0.6436460018157959,low_low_flat,32.58039799848499,0.35515833820522413,74.76190426349194,3.8286700213678913,-0.16394477410819874,0.0,0.0,0.4500237083289467,0.16783416525302244,46.95410449429187,0.0,0.39785714285714036,0.004701136037541538,84.63,False,False,True,False,False,False,False,True,53.0,220,TP,1.8699285714285594,True,11
SOL/USDT,237,2026-04-30 10:00:00,short,83.46580064733685,0.6938671469688416,low_low_down,34.27646470314753,-0.6685975568856092,54.54545436276639,2.2329339420820387,0.024400045838864237,0.0,0.0,-0.3335286931477625,0.04838843596625875,62.77414412673828,0.0,0.5514285714285704,0.0066437177280550645,83.0,False,False,True,False,True,False,False,True,53.0,254,SL,-1.2958571428571446,False,17
SOL/USDT,262,2026-05-01 11:00:00,short,83.24703564135135,0.6809906959533691,low_low_up,50.18752439803541,-0.7288589421418523,76.85185135373776,2.112924306852994,-0.5086325367112319,0.0,0.0,0.5453128567930104,0.06411682981907751,48.09325709097869,0.0,0.40214285714285786,0.004786845103474085,84.01,False,False,True,False,True,False,False,True,53.0,296,SL,-0.9450357142857229,False,34
SOL/USDT,299,2026-05-03 00:00:00,short,76.97469958531593,0.6334555745124817,low_low_flat,16.505121627107556,1.9414151522661696,53.33333295042726,0.9276489195937625,0.005370679657135891,0.0,0.0,0.3299180559683516,0.016285918678881642,37.1495576816504,0.0,0.3285714285714282,0.003907842870735349,84.08,False,False,True,False,True,False,True,True,46.487349792657966,321,SL,-0.7721428571428532,False,22
SOL/USDT,355,2026-05-05 08:00:00,short,61.248944230103575,0.6022043824195862,med_low_flat,24.51106613612774,-0.7958374015925846,50.83333303680568,1.0938477893708476,-0.2871046925502494,0.0,0.0,0.45870650409107394,0.046384295336225255,75.53357047905429,0.0,0.37071428571428555,0.0043726620159741155,84.78,False,False,True,True,True,False,True,True,28.624472115051788,360,SL,-0.8711785714285725,False,5
